,Feature_1,Feature_2,Feature_Pair,Value,Metric
249,"$S_{1619, n}$",$(\frac{I_{1619}}{I_{1720}})_{n}$,"[$S_{1619, n}$; $(\frac{I_{1619}}{I_{1720}})_{n}$]",0.7522629383756314,V_measure
628,$(\frac{ΣI}{S_{1619}})_{n}$,$(ΣI^{-3})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(ΣI^{-3})_{n}$],0.7509080986900534,V_measure
630,$(\frac{ΣI}{S_{1619}})_{n}$,$(ΣI^{-4})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(ΣI^{-4})_{n}$],0.7509080986900534,V_measure
632,$(\frac{ΣI}{S_{1619}})_{n}$,$(ΣI^{-5})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(ΣI^{-5})_{n}$],0.7509080986900534,V_measure
432,"$S_{1720, n}$",$(S_{1619}^{-1})_{n}$,"[$S_{1720, n}$; $(S_{1619}^{-1})_{n}$]",0.7503539254214114,V_measure
651,$(\frac{ΣI}{S_{1619}})_{n}$,$(S_{1619}^{-1})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(S_{1619}^{-1})_{n}$],0.7495125150357793,V_measure
252,"$S_{1619, n}$",$(\frac{S_{1619}}{S_{1720}})_{n}$,"[$S_{1619, n}$; $(\frac{S_{1619}}{S_{1720}})_{n}$]",0.7460560206480155,V_measure
1128,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(S_{1619}^2)_{n}$,[$(\frac{I_{1619}}{S_{1619}})_{n}$; $(S_{1619}^2)_{n}$],0.7453073902897228,V_measure
1130,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(S_{1619}^3)_{n}$,[$(\frac{I_{1619}}{S_{1619}})_{n}$; $(S_{1619}^3)_{n}$],0.7453073902897228,V_measure
3027,$(I_{1720}^{-2})_{n}$,$(ln|S_{1619}|)_{n}$,[$(I_{1720}^{-2})_{n}$; $(ln|S_{1619}|)_{n}$],0.7443628704963441,V_measure
3066,$(I_{1720}^{-3})_{n}$,$(ln|S_{1619}|)_{n}$,[$(I_{1720}^{-3})_{n}$; $(ln|S_{1619}|)_{n}$],0.7443628704963441,V_measure
3101,$(I_{1720}^{-4})_{n}$,$(ln|S_{1619}|)_{n}$,[$(I_{1720}^{-4})_{n}$; $(ln|S_{1619}|)_{n}$],0.7443628704963441,V_measure
3132,$(I_{1720}^{-5})_{n}$,$(ln|S_{1619}|)_{n}$,[$(I_{1720}^{-5})_{n}$; $(ln|S_{1619}|)_{n}$],0.7443628704963441,V_measure
402,"$S_{1720, n}$",$(\frac{S_{1619}}{I_{1720}})_{n}$,"[$S_{1720, n}$; $(\frac{S_{1619}}{I_{1720}})_{n}$]",0.7413375933647843,V_measure
1320,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1619}^{-3})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1619}^{-3})_{n}$],0.7413375933647843,V_measure
1322,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1619}^{-4})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1619}^{-4})_{n}$],0.7413375933647843,V_measure
1324,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1619}^{-5})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1619}^{-5})_{n}$],0.7413375933647843,V_measure
1335,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^2)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^2)_{n}$],0.7413375933647843,V_measure
1337,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^3)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^3)_{n}$],0.7413375933647843,V_measure
1339,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^4)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^4)_{n}$],0.7413375933647843,V_measure
1341,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1720}^5)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1720}^5)_{n}$],0.7413375933647843,V_measure
1321,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1619}^4)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1619}^4)_{n}$],0.7370779581256282,V_measure
1323,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(S_{1619}^5)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(S_{1619}^5)_{n}$],0.7370779581256282,V_measure
1124,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(I_{1619}^{-4})_{n}$,[$(\frac{I_{1619}}{S_{1619}})_{n}$; $(I_{1619}^{-4})_{n}$],0.733336654130886,V_measure
79,$(ΣI)_{n}$,$(ln|S_{1720}|)_{n}$,[$(ΣI)_{n}$; $(ln|S_{1720}|)_{n}$],0.728506248331184,V_measure
1586,$(ΣI^2)_{n}$,$(ln|S_{1720}|)_{n}$,[$(ΣI^2)_{n}$; $(ln|S_{1720}|)_{n}$],0.728506248331184,V_measure
1808,$(ΣI^4)_{n}$,$(ln|S_{1720}|)_{n}$,[$(ΣI^4)_{n}$; $(ln|S_{1720}|)_{n}$],0.728506248331184,V_measure
1913,$(ΣI^5)_{n}$,$(ln|S_{1720}|)_{n}$,[$(ΣI^5)_{n}$; $(ln|S_{1720}|)_{n}$],0.728506248331184,V_measure
1699,$(ΣI^3)_{n}$,$(ln|S_{1720}|)_{n}$,[$(ΣI^3)_{n}$; $(ln|S_{1720}|)_{n}$],0.7285062483311839,V_measure
